longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-124.17,41.8,16,2739,480.0,1259,436,3.7557,109400,NEAR OCEAN
-124.3,41.8,19,2672,552.0,1298,478,1.9797,85800,NEAR OCEAN
-124.23,41.75,11,3159,616.0,1343,479,2.4805,73200,NEAR OCEAN
-124.21,41.77,17,3461,722.0,1947,647,2.5795,68400,NEAR OCEAN
-124.19,41.78,15,3140,714.0,1645,640,1.6654,74600,NEAR OCEAN
-124.22,41.73,28,3003,699.0,1530,653,1.7038,78300,NEAR OCEAN
-124.21,41.75,20,3810,787.0,1993,721,2.0074,66900,NEAR OCEAN
-124.17,41.76,20,2673,538.0,1282,514,2.4605,105900,NEAR OCEAN
-124.16,41.74,15,2715,569.0,1532,530,2.1829,69500,NEAR OCEAN
-124.14,41.95,21,2696,578.0,1208,494,2.275,122400,NEAR OCEAN
-124.16,41.92,19,1668,324.0,841,283,2.1336,75000,NEAR OCEAN
-124.3,41.84,17,2677,531.0,1244,456,3.0313,103600,NEAR OCEAN
-124.15,41.81,17,3276,628.0,3546,585,2.2868,103100,NEAR OCEAN
-123.92,41.54,22,2920,636.0,1382,499,2.0202,71100,NEAR OCEAN
-124.17,40.8,52,661,316.0,392,244,0.957,60000,NEAR OCEAN
-124.16,40.8,52,2416,618.0,1150,571,1.7308,80500,NEAR OCEAN
-124.16,40.79,52,1264,277.0,591,284,1.7778,76900,NEAR OCEAN
-124.17,40.8,52,1606,419.0,891,367,1.585,75500,NEAR OCEAN
-124.17,40.8,52,1557,344.0,758,319,1.8529,62500,NEAR OCEAN
-124.16,40.79,52,2148,421.0,975,430,2.2566,92700,NEAR OCEAN
-124.16,40.78,50,2285,403.0,837,353,2.5417,85400,NEAR OCEAN
-124.17,40.78,39,1606,330.0,731,327,1.6369,68300,NEAR OCEAN
-124.19,40.78,37,1371,319.0,640,260,1.8242,70000,NEAR OCEAN
-124.18,40.79,39,1836,352.0,883,337,1.745,70500,NEAR OCEAN
-124.18,40.79,40,1398,311.0,788,279,1.4668,64600,NEAR OCEAN
-124.17,40.79,43,2285,479.0,1169,482,1.9688,70500,NEAR OCEAN
-124.16,40.78,43,2241,446.0,932,395,2.9038,82000,NEAR OCEAN
-124.16,40.77,35,2141,438.0,1053,434,2.8529,85600,NEAR OCEAN
-124.17,40.77,30,1895,366.0,990,359,2.2227,81300,NEAR OCEAN
-124.18,40.78,37,1453,293.0,867,310,2.5536,70200,NEAR OCEAN
-124.18,40.78,33,1076,222.0,656,236,2.5096,72200,NEAR OCEAN
-124.18,40.78,34,1592,364.0,950,317,2.1607,67000,NEAR OCEAN
-124.17,40.75,13,2171,339.0,951,353,4.8516,116100,NEAR OCEAN
-124.17,40.76,26,1776,361.0,992,380,2.8056,82800,NEAR OCEAN
-124.19,40.77,30,2975,634.0,1367,583,2.442,69000,NEAR OCEAN
-124.15,40.81,50,340,74.0,235,83,1.75,67500,NEAR OCEAN
-124.14,40.8,32,1373,312.0,872,306,2.5,72600,NEAR OCEAN
-124.15,40.8,47,1486,335.0,765,329,1.755,74100,NEAR OCEAN
-124.16,40.8,52,2167,480.0,908,451,1.6111,74700,NEAR OCEAN
-124.16,40.8,52,1703,500.0,952,435,1.1386,74100,NEAR OCEAN
-124.14,40.79,38,1552,290.0,873,291,2.4896,81000,NEAR OCEAN
-124.15,40.78,41,2127,358.0,911,349,3.1711,104200,NEAR OCEAN
-124.16,40.78,46,1975,346.0,791,349,3.8,81800,NEAR OCEAN
-124.16,40.79,46,3042,597.0,1206,541,2.1135,90600,NEAR OCEAN
-124.15,40.79,37,2692,488.0,1263,486,3.0216,86400,NEAR OCEAN
-124.14,40.78,35,2426,423.0,982,432,3.4219,92800,NEAR OCEAN
-124.14,40.77,27,3046,605.0,1407,571,2.9143,99600,NEAR OCEAN
-124.15,40.76,24,2858,511.0,1388,512,3.375,100600,NEAR OCEAN
-124.15,40.78,36,2112,374.0,829,368,3.3984,90000,NEAR OCEAN
-124.11,40.81,23,959,212.0,425,175,2.5536,96100,NEAR OCEAN
-124.13,40.78,34,2142,420.0,1056,382,2.1101,86900,NEAR OCEAN
-124.13,40.8,31,2152,462.0,1259,420,2.2478,81100,NEAR OCEAN
-124.13,40.79,29,2474,453.0,1130,427,2.8833,83000,NEAR OCEAN
-124.13,40.79,32,2017,359.0,855,346,3.5833,92800,NEAR OCEAN
-124.06,40.86,34,4183,,1891,669,3.2216,98100,NEAR OCEAN
-124.05,40.85,31,2414,428.0,1005,401,3.5156,143000,NEAR OCEAN
-124.08,40.86,18,1287,484.0,805,502,1.1157,150000,NEAR OCEAN
-124.09,40.86,25,1322,387.0,794,379,1.1742,75000,NEAR OCEAN
-124.09,40.87,44,692,206.0,398,211,1.1576,87500,NEAR OCEAN
-124.07,40.87,47,1765,326.0,796,333,2.2138,99200,NEAR OCEAN
-124.08,40.87,29,1710,469.0,990,425,1.1479,101100,NEAR OCEAN
-124.09,40.88,50,921,187.0,420,187,2.2188,105800,NEAR OCEAN
-124.07,40.87,31,334,134.0,780,130,0.7684,153100,NEAR OCEAN
-124.15,40.88,33,2235,506.0,1165,441,1.725,57500,NEAR OCEAN
-124.1,40.88,35,2987,578.0,1581,585,2.0657,81100,NEAR OCEAN
-124.09,40.88,31,1982,495.0,1052,467,1.5326,74100,NEAR OCEAN
-124.09,40.88,26,2683,555.0,1353,526,2.4321,82100,NEAR OCEAN
-124.1,40.9,18,4032,798.0,1948,775,2.7321,92600,NEAR OCEAN
-124.23,40.81,52,1112,209.0,544,172,3.3462,50800,NEAR OCEAN
-124.06,40.88,12,2087,424.0,1603,438,2.5667,139500,NEAR OCEAN
-124.08,40.91,13,2522,719.0,1381,628,1.6667,78800,NEAR OCEAN
-124.08,41.36,29,1029,239.0,509,196,2.0156,62800,NEAR OCEAN
-124.06,41.13,22,3263,799.0,1384,578,2.4708,119400,NEAR OCEAN
-124.14,41.06,32,1020,215.0,421,198,3.0208,143400,NEAR OCEAN
